ID,CN_Key,CN_Code,Name
4340,281200000080,2812,Halides and halide oxides of non-metals
4353,281300000080,2813,Sulphides of non-metals; commercial phosphoru
4359,281400000080,2814,"Ammonia, anhydrous or in aqueous solution"
4362,281500000080,2815,Sodium hydroxide (caustic soda); potassium hy
4368,281600000080,2816,"Hydroxide and peroxide of magnesium; oxides,"
4372,281800000080,2818,"Artificial corundum, whether or not chemicall"
4382,281900000080,2819,Chromium oxides and hydroxides
4387,282000000080,2820,Manganese oxides
4392,282100000080,2821,Iron oxides and hydroxides; earth colours con
4397,282400000080,2824,Lead oxides; red lead and orange lead
4400,282500000080,2825,Hydrazine and hydroxylamine and their inorgan
4418,282600000080,2826,"Fluorides; fluorosilicates, fluoroaluminates"
4428,282700000080,2827,"Chlorides, chloride oxides and chloride hydro"
4449,282800000080,2828,Hypochlorites; commercial calcium hypochlorit
4452,282900000080,2829,Chlorates and perchlorates; bromates and perb
4460,283000000080,2830,"Sulphides; polysulphides, whether or not chem"
4465,283100000080,2831,Dithionites and sulphoxylates
4468,283200000080,2832,Sulphites; thiosulphates
4472,283300000080,2833,Sulphates; alums; peroxosulphates (persulphat
4489,283400000080,2834,Nitrites; nitrates
4497,283500000080,2835,"Phosphinates (hypophosphites), phosphonates ("
4511,283600000080,2836,Carbonates; peroxocarbonates (percarbonates);
4525,283700000080,2837,"Cyanides, cyanide oxides and complex cyanides"
4530,283900000080,2839,Silicates; commercial alkali metal silicates
4535,284000000080,2840,Borates; peroxoborates (perborates)
4545,284100000080,2841,Salts of oxometallic or peroxometallic acids
4556,284200000080,2842,Other salts of inorganic acids or peroxoacids
4562,284300000080,2843,Colloidal precious metals; inorganic or organ
4573,284400000080,2844,Radioactive chemical elements and radioactive
4610,284500000080,2845,Isotopes other than those of heading 2844; co
4615,284600000080,2846,"Compounds, inorganic or organic, of rare-eart"
4623,284900000080,2849,"Carbides, whether or not chemically defined"
4635,285200000080,2852,"Inorganic or organic compounds of mercury, wh"
4638,285300000080,2853,"Phosphides, whether or not chemically defined"
4646,290100000080,2901,Acyclic hydrocarbons
4654,290200000080,2902,Cyclic hydrocarbons
4669,290300000080,2903,Halogenated derivatives of hydrocarbons
4735,290400000080,2904,"Sulphonated, nitrated or nitrosated derivativ"
4749,290500000080,2905,"Acyclic alcohols and their halogenated, sulph"
4795,290600000080,2906,"Cyclic alcohols and their halogenated, sulpho"
4807,290700000080,2907,Phenols; phenol-alcohols
4823,290800000080,2908,"Halogenated, sulphonated, nitrated or nitrosa"
4832,290900000080,2909,"Ethers, ether-alcohols, ether-phenols, ether-"
4855,291000000080,2910,"Epoxides, epoxyalcohols, epoxyphenols and epo"
4864,291200000080,2912,"Aldehydes, whether or not with other oxygen f"
4880,291400000080,2914,"Ketones and quinones, whether or not with oth"
4909,291500000080,2915,Saturated acyclic monocarboxylic acids and th
4937,291600000080,2916,"Unsaturated acyclic monocarboxylic acids, cyc"
4957,291700000080,2917,"Polycarboxylic acids, their anhydrides, halid"
4980,291800000080,2918,Carboxylic acids with additional oxygen funct
5006,291900000080,2919,"Phosphoric esters and their salts, including"
5009,292000000080,2920,Esters of other inorganic acids of non-metals
